Category,NaturalLanguageQuestion,CypherQuery,CypherToQuestion
Multi-hop Queries,Find the CWE weakness associated with exploit targets vulnerable to 'CVE-2020-0601'.,"MATCH (c:UcoCVE {label: 'CVE-2020-0601'})<-[:UCOHASCVE_ID]-(v:UcoVulnerability)<-[:UCOHASVULNERABILITY]-(et:UcoExploitTarget)-[:UCOHASWEAKNESS]->(w:UcoCWE) RETURN w.ucocweID, w.ucocweName",What weakness (CWE) is linked to exploit targets for 'CVE-2020-0601'?
Multi-hop Queries,What mitigations are suggested for techniques used by 'Lazarus Group'?,"MATCH (g:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS) RETURN t.ucoexNAME, m.ucoexNAME",What mitigations stop the techniques used by 'Lazarus Group'?
Multi-hop Queries,Which threat groups use techniques that are countered by the D3FEND technique 'D3-SDA' (System Call Analysis)?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASMITREATTACK]-(d:UcoexMITRED3FEND {ucoexMITRED3FEND_LABEL: 'D3-SDA'}) RETURN g.ucoexNAME,Which threat groups use techniques that 'D3-SDA' (System Call Analysis) can counter?
Multi-hop Queries,What CPEs (products) are affected by 'CVE-2017-0199'?,MATCH (c:UcoCVE {label: 'CVE-2017-0199'})-[:UCOEXHASCPE]->(cpe:UcoexCPE) RETURN cpe.uri,What products (CPEs) are affected by 'CVE-2017-0199'?
Multi-hop Queries,What campaigns have used software also used by 'FIN7'?,MATCH (g:UcoexGROUPS {ucoexNAME: 'FIN7'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(c:UcoexCAMPAIGNS) RETURN DISTINCT c.ucoexNAME,What campaigns use the same software as 'FIN7'?
Multi-hop Queries,"What techniques are used in the 'SolarWinds Orion' campaign, and which group is attributed?","MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN g.ucoexNAME, t.ucoexNAME","What techniques were used in the 'SolarWinds Orion' campaign, and which group ran it?"
Multi-hop Queries,What CVEs are associated with targets that have 'CWE-125' (Out-of-bounds Read)?,MATCH (w:UcoCWE {ucocweID: 'CWE-125'})<-[:UCOHASWEAKNESS]-(et:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE) RETURN c.label,What CVEs are linked to targets vulnerable to 'CWE-125' (Out-of-bounds Read)?
Aggregation and Counting,Count the number of distinct software tools used by each threat group.,"MATCH (g:UcoexGROUPS)-[r:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN g.ucoexNAME, count(DISTINCT s) AS softwareCount ORDER BY softwareCount DESC",Rank threat groups by the number of different software tools they use.
Aggregation and Counting,What is the average exploitability score for all 'CRITICAL' CVEs?,MATCH (c:UcoCVE {ucobaseSeverity: 'CRITICAL'}) WHERE c.ucoexploitabilityScore IS NOT NULL RETURN avg(toFloat(c.ucoexploitabilityScore)) AS averageExploitability,What's the average exploitability score for 'CRITICAL' CVEs?
Aggregation and Counting,How many threat groups use the 'T1078' (Valid Accounts) technique?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK {ucoexNAME: 'Valid Accounts'}) RETURN count(g) AS groupCount,How many groups use the 'Valid Accounts' (T1078) technique?
Aggregation and Counting,Count the number of campaigns attributed to each threat group.,"MATCH (g:UcoexGROUPS)<-[r:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN g.ucoexNAME, count(r) AS campaignCount ORDER BY campaignCount DESC",Count how many campaigns are linked to each threat group.
Aggregation and Counting,How many techniques are associated with 'Mimikatz'?,MATCH (s:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'})-[:UCOEXSOFTWAREUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN count(t) AS techniqueCount,How many attack techniques are associated with 'Mimikatz'?
Aggregation and Counting,How many CWEs are associated with the 'Class' abstraction?,MATCH (w:UcoCWE {ucoabstraction: 'Class'}) RETURN count(w) AS cweClassCount,How many 'Class' type weaknesses (CWEs) are there?
Aggregation and Counting,"What is the minimum, maximum, and average impact score for CVEs published in 2022?","MATCH (v:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE) WHERE v.ucopublishedDateTime STARTS WITH '2022' AND c.ucoimpactScore IS NOT NULL RETURN min(toFloat(c.ucoimpactScore)) AS minScore, max(toFloat(c.ucoimpactScore)) AS maxScore, avg(toFloat(c.ucoimpactScore)) AS avgScore","For CVEs published in 2022, what are the min, max, and average impact scores?"
Aggregation and Counting,Count the number of observed examples for each CWE.,"MATCH (w:UcoCWE)-[:UCOHASOBSERVEDEXAMPLE]->(o:UcoexObservedExample) RETURN w.ucocweID, count(o) AS exampleCount ORDER BY exampleCount DESC","Show how many real-world examples each weakness (CWE) has, ranked."
Aggregation and Counting,How many CPEs are associated with 'CVE-2021-44228'?,MATCH (c:UcoCVE {label: 'CVE-2021-44228'})-[:UCOEXHASCPE]->(cpe:UcoexCPE) RETURN count(cpe) AS cpeCount,How many products (CPEs) are affected by 'CVE-2021-44228'?
Aggregation and Counting,What is the total number of 'Enterprise' domain techniques?,MATCH (t:UcoexMITREATTACK {ucoexDOMAIN: 'Enterprise'}) RETURN count(t) AS enterpriseTechniqueCount,What's the total number of 'Enterprise' attack techniques?
Aggregation and Counting,How many threat groups have at least one campaign attributed to them?,MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(:UcoexCAMPAIGNS) RETURN count(DISTINCT g) AS groupsWithCampaigns,How many threat groups are responsible for at least one campaign?
Aggregation and Counting,What is the total number of CAPEC entries in the graph?,MATCH (ca:UcoexCAPEC) RETURN count(ca) AS capecCount,What's the total number of attack patterns (CAPEC) in the database?
Conditional and Boolean Queries,What software is used by 'APT28' AND also by 'APT29'?,MATCH (g1:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXGROUPUSESSOFTWARE]-(g2:UcoexGROUPS {ucoexNAME: 'APT29'}) RETURN s.ucoexNAME,What software is used by *both* 'APT28' AND 'APT29'?
Conditional and Boolean Queries,Find CVEs with 'HIGH' severity that DO require user interaction.,MATCH (c:UcoCVE) WHERE c.ucobaseSeverity = 'HIGH' AND c.ucouserInteractionRequired = 'true' RETURN c.label,Find 'HIGH' severity CVEs that *do* require user interaction.
Conditional and Boolean Queries,List all ATT&CK techniques that are NOT in the 'Enterprise' domain.,"MATCH (t:UcoexMITREATTACK) WHERE t.ucoexDOMAIN <> 'Enterprise' RETURN t.ucoexNAME, t.ucoexDOMAIN",List all attack techniques that are *not* for 'Enterprise' systems.
Conditional and Boolean Queries,Which threat groups use both 'Phishing' AND 'PowerShell'?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t1:UcoexMITREATTACK {ucoexNAME: 'Phishing'}) MATCH (g)-[:UCOEXGROUPUSESTECHNIQUE]->(t2:UcoexMITREATTACK {ucoexNAME: 'PowerShell'}) RETURN g.ucoexNAME,Which groups use *both* 'Phishing' AND 'PowerShell'?
Conditional and Boolean Queries,Find CWEs that have a 'High' likelihood of exploit AND are a 'Class' abstraction.,"MATCH (w:UcoCWE) WHERE w.ucolikelihoodOfExploit = 'High' AND w.ucoabstraction = 'Class' RETURN w.ucocweID, w.ucocweName",Find 'Class' type weaknesses (CWEs) that *also* have a 'High' likelihood of exploit.
Conditional and Boolean Queries,Find vulnerabilities published after '2023-01-01' AND before '2023-06-30'.,"MATCH (v:UcoVulnerability) WHERE v.ucopublishedDateTime > '2023-01-01T00:00:00' AND v.ucopublishedDateTime < '2023-06-30T23:59:59' RETURN v.uri, v.ucopublishedDateTime",Find vulnerabilities published in the first half of 2023.
Conditional and Boolean Queries,List software that is NOT used by any threat group.,MATCH (s:UcoexSOFTWARE) WHERE NOT (s)<-[:UCOEXGROUPUSESSOFTWARE]-(:UcoexGROUPS) RETURN s.ucoexNAME,List software that is *not* used by any threat group.
Conditional and Boolean Queries,List all 'CRITICAL' or 'HIGH' severity CVEs that do NOT require user interaction.,MATCH (c:UcoCVE) WHERE (c.ucobaseSeverity = 'CRITICAL' OR c.ucobaseSeverity = 'HIGH') AND c.ucouserInteractionRequired = 'false' RETURN c.label,List 'CRITICAL' or 'HIGH' severity CVEs that *don't* require user interaction.
Conditional and Boolean Queries,Find groups that use software 'Cobalt Strike' BUT NOT 'Mimikatz'.,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(:UcoexSOFTWARE {ucoexNAME: 'Cobalt Strike'}) WHERE NOT (g)-[:UCOEXGROUPUSESSOFTWARE]->(:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN g.ucoexNAME,Find groups that use 'Cobalt Strike' BUT *not* 'Mimikatz'.
Conditional and Boolean Queries,List all D3FEND techniques that have 'Digital Artifact' in their definition.,MATCH (d:UcoexMITRED3FEND) WHERE d.ucoexMITRED3FEND_DEFINITION CONTAINS 'Digital Artifact' RETURN d.ucoexMITRED3FEND_LABEL,List all D3FEND defenses that mention 'Digital Artifact' in their definition.
Conditional and Boolean Queries,Find campaigns attributed to a group AND using technique 'T1566'.,"MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK {ucoexNAME: 'T1566'}) RETURN c.ucoexNAME, g.ucoexNAME",Find campaigns that are attributed to a group AND use technique 'T1566'.
Conditional and Boolean Queries,Find exploit targets with a known vulnerability BUT no known weakness.,MATCH (et:UcoExploitTarget) WHERE (et)-[:UCOHASVULNERABILITY]->(:UcoVulnerability) AND NOT (et)-[:UCOHASWEAKNESS]->(:UcoCWE) RETURN et.uri,Find exploit targets that have a vulnerability BUT no known weakness (CWE).
Path Queries (Variable-length),Find any connection (up to 3 hops) between the group 'APT29' and 'CVE-2021-44228'.,MATCH path = (g:UcoexGROUPS {ucoexNAME: 'APT29'})-[*1..3]-(c:UcoCVE {label: 'CVE-2021-44228'}) RETURN path LIMIT 10,Is there a connection (up to 3 hops) between 'APT29' and 'CVE-2021-44228'?
Path Queries (Variable-length),How can 'CWE-79' (XSS) lead to an 'Enterprise' attack technique (max 4 hops)?,MATCH path = (w:UcoCWE {ucocweID: 'CWE-79'})-[*1..4]-(t:UcoexMITREATTACK {ucoexDOMAIN: 'Enterprise'}) RETURN path LIMIT 20,How can 'CWE-79' (XSS) lead to an 'Enterprise' technique? (Show paths up to 4 hops)
Path Queries (Variable-length),"Are 'Lazarus Group' and 'Sandworm Team' connected within 3 hops (e.g., shared tools, techniques)?",MATCH path = (g1:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[*1..3]-(g2:UcoexGROUPS {ucoexNAME: 'Sandworm Team'}) RETURN path,Are 'Lazarus Group' and 'Sandworm Team' connected within 3 hops?
Path Queries (Variable-length),Show all related entities (up to 5 hops) stemming from 'CVE-2017-0199'.,MATCH path = (c:UcoCVE {label: 'CVE-2017-0199'})-[*1..5]-(n) RETURN path LIMIT 50,Show me everything connected to 'CVE-2017-0199' (up to 5 hops away).
Path Queries (Variable-length),What is the shortest path between 'CAPEC-153' (Input Data Manipulation) and any mitigation?,MATCH path = shortestPath((ca:UcoexCAPEC {ucoexCAPEC_id: 'CAPEC-153'})-[*1..5]-(m:UcoexMITIGATIONS)) RETURN path,What's the shortest path (max 5 hops) from 'CAPEC-153' (Input Data Manipulation) to any mitigation?
Path Queries (Variable-length),Find all paths (1-2 hops) from a 'CRITICAL' CVE to a Threat Group.,MATCH path = (c:UcoCVE {ucobaseSeverity: 'CRITICAL'})-[*1..2]-(g:UcoexGROUPS) RETURN path LIMIT 25,Show me paths (1-2 hops) from a 'CRITICAL' CVE to a Threat Group.
Path Queries (Variable-length),How is 'SolarWinds Orion' campaign connected to 'T1588' (Obtain Capabilities)? (max 3 hops),MATCH path = (c:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion'})-[*1..3]-(t:UcoexMITREATTACK {ucoexNAME: 'T1588'}) RETURN path,How is the 'SolarWinds Orion' campaign connected to 'T1588'? (Max 3 hops)
Path Queries (Variable-length),Find the shortest path between two different CVEs ('CVE-2021-44228' and 'CVE-2020-0601').,MATCH path = shortestPath((c1:UcoCVE {label: 'CVE-2021-44228'})-[*1..6]-(c2:UcoCVE {label: 'CVE-2020-0601'})) RETURN path,What's the shortest path (max 6 hops) between 'CVE-2021-44228' and 'CVE-2020-0601'?
Path Queries (Variable-length),Find all nodes within 2 hops of 'CWE-416' (Use After Free).,MATCH path = (w:UcoCWE {ucocweID: 'CWE-416'})-[*1..2]-(n) RETURN DISTINCT n.uri,Find all nodes within 2 hops of 'CWE-416' (Use After Free).
Path Queries (Variable-length),Find the shortest path from 'FIN7' group to a weakness (UcoCWE).,MATCH path = shortestPath((g:UcoexGROUPS {ucoexNAME: 'FIN7'})-[*1..4]-(w:UcoCWE)) RETURN path,What's the shortest path (max 4 hops) from the 'FIN7' group to any weakness (CWE)?
Path Queries (Variable-length),Show relationships (1-3 hops) between 'UcoexMITRED3FEND' nodes and 'UcoexGROUPS' nodes.,MATCH path = (d:UcoexMITRED3FEND)-[*1..3]-(g:UcoexGROUPS) RETURN path LIMIT 20,Show me connections (1-3 hops) between D3FEND defenses and Threat Groups.
Path Queries (Variable-length),Find all paths from an 'UcoexObservedExample' to an 'UcoexMITREATTACK' (max 4 hops).,MATCH path = (o:UcoexObservedExample)-[*1..4]-(t:UcoexMITREATTACK) RETURN path LIMIT 20,Find paths (max 4 hops) from a real-world example to an attack technique.
Path Queries (Variable-length),What is the shortest path between 'Cobalt Strike' (Software) and 'APT29' (Group)?,MATCH path = shortestPath((s:UcoexSOFTWARE {ucoexNAME: 'Cobalt Strike'})-[*1..3]-(g:UcoexGROUPS {ucoexNAME: 'APT29'})) RETURN path,What's the shortest path (max 3 hops) between 'Cobalt Strike' and 'APT29'?
Graph Pattern Matching,"Show groups, a technique they use, and a mitigation that counters that specific technique.","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS) RETURN g.ucoexNAME, t.ucoexNAME, m.ucoexNAME LIMIT 25",Show me 25 examples of [Group -> Technique -> Mitigation].
Graph Pattern Matching,Match threat groups to their campaigns and the software used in those campaigns.,"MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN g.ucoexNAME, c.ucoexNAME, s.ucoexNAME LIMIT 25",Show me 25 examples of [Group -> Campaign -> Software used in Campaign].
Graph Pattern Matching,Find CVEs and their corresponding CWE weaknesses that share a common exploit target.,"MATCH (c:UcoCVE)<-[:UCOHASCVE_ID]-(v:UcoVulnerability)<-[:UCOHASVULNERABILITY]-(et:UcoExploitTarget)-[:UCOHASWEAKNESS]->(w:UcoCWE) RETURN c.label, et.uri, w.ucocweID LIMIT 25",Show me 25 examples of [CVE -> Exploit Target -> Weakness (CWE)].
Graph Pattern Matching,Find pairs of threat groups that use the same attack technique.,"MATCH (g1:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXGROUPUSESTECHNIQUE]-(g2:UcoexGROUPS) WHERE id(g1) < id(g2) RETURN g1.ucoexNAME, t.ucoexNAME, g2.ucoexNAME LIMIT 25",Show me 25 examples of two groups that use the same attack technique.
Graph Pattern Matching,Find cases where a group and a software tool use the same technique.,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXSOFTWAREUSESTECHNIQUE]-(s:UcoexSOFTWARE) RETURN g.ucoexNAME, s.ucoexNAME, t.ucoexNAME LIMIT 25",Show me 25 examples of a group and software that use the same technique.
Graph Pattern Matching,Find techniques and software used in the same campaign.,"MATCH (t:UcoexMITREATTACK)<-[:UCOEXCAMPAIGNUSESTECHNIQUE]-(c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN c.ucoexNAME, t.ucoexNAME, s.ucoexNAME LIMIT 25",Show me 25 examples of [Campaign -> Technique -> Software] used together.
Graph Pattern Matching,"Find products (CPE) affected by a CVE, and the exploit targets for that CVE.","MATCH (cpe:UcoexCPE)<-[:UCOEXHASCPE]-(c:UcoCVE)<-[:UCOHASCVE_ID]-(:UcoVulnerability)<-[:UCOHASVULNERABILITY]-(et:UcoExploitTarget) RETURN c.label, cpe.uri, et.uri LIMIT 25",Show me 25 examples of [CVE -> Product (CPE) -> Exploit Target].
Graph Pattern Matching,Find pairs of groups that use the same software.,"MATCH (g1:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXGROUPUSESSOFTWARE]-(g2:UcoexGROUPS) WHERE id(g1) < id(g2) RETURN g1.ucoexNAME, s.ucoexNAME, g2.ucoexNAME LIMIT 25",Show me 25 examples of two groups that use the same software.
Graph Pattern Matching,Find weaknesses (CWE) and vulnerabilities that exist on the same exploit target.,"MATCH (w:UcoCWE)<-[:UCOHASWEAKNESS]-(et:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability) RETURN w.ucocweID, et.uri, v.uri LIMIT 25",Show me 25 examples of [Weakness (CWE) -> Exploit Target -> Vulnerability].
Graph Pattern Matching,Find observed examples linked to both a CVE and a CWE.,"MATCH (c:UcoCVE)<-[:UCOEXEXAMPLEOBSERVEDIN]-(o:UcoexObservedExample)<-[:UCOHASOBSERVEDEXAMPLE]-(w:UcoCWE) RETURN o.ucoexDESCRIPTION, c.label, w.ucocweID LIMIT 25",Show me 25 real-world examples linked to *both* a CVE and a CWE.
Comparative and Ranking,Rank threat groups by the number of 'Enterprise' techniques they use.,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK {ucoexDOMAIN: 'Enterprise'}) RETURN g.ucoexNAME, count(t) AS enterpriseTechniques ORDER BY enterpriseTechniques DESC",Rank threat groups by how many 'Enterprise' techniques they use.
Comparative and Ranking,List the top 5 most common software tools used by threat groups.,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME, count(g) AS groupCount ORDER BY groupCount DESC LIMIT 5",What are the top 5 software tools most used by threat groups?
Comparative and Ranking,Which 10 CVEs have the highest exploitability score?,"MATCH (c:UcoCVE) WHERE c.ucoexploitabilityScore IS NOT NULL RETURN c.label, toFloat(c.ucoexploitabilityScore) AS score ORDER BY score DESC LIMIT 10",Which 10 CVEs are the most exploitable?
Comparative and Ranking,Compare the number of techniques used by 'APT28' vs 'APT29'.,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) WHERE g.ucoexNAME IN ['APT28', 'APT29'] RETURN g.ucoexNAME, count(t) AS techniqueCount",How many techniques does 'APT28' use vs. 'APT29'?
Comparative and Ranking,"Rank CWEs by 'Likelihood of Exploit' (High, Medium, Low).","MATCH (w:UcoCWE) WHERE w.ucolikelihoodOfExploit IS NOT NULL RETURN w.ucocweID, w.ucolikelihoodOfExploit ORDER BY CASE w.ucolikelihoodOfExploit WHEN 'High' THEN 1 WHEN 'Medium' THEN 2 WHEN 'Low' THEN 3 ELSE 4 END",Rank weaknesses (CWEs) by their 'Likelihood of Exploit'.
Comparative and Ranking,Find the top 10 techniques most commonly associated with software.,"MATCH (s:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN t.ucoexNAME, count(s) AS softwareCount ORDER BY softwareCount DESC LIMIT 10",What are the top 10 techniques most often used by software?
Comparative and Ranking,Rank groups by the number of distinct campaigns attributed to them.,"MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS) RETURN g.ucoexNAME, count(DISTINCT c) AS campaignCount ORDER BY campaignCount DESC",Rank groups by how many campaigns are attributed to them.
Comparative and Ranking,Compare the average impact score of 'CRITICAL' vs 'HIGH' severity CVEs.,"MATCH (c:UcoCVE) WHERE c.ucobaseSeverity IN ['CRITICAL', 'HIGH'] AND c.ucoimpactScore IS NOT NULL RETURN c.ucobaseSeverity, avg(toFloat(c.ucoimpactScore)) AS avgImpactScore",What's the average impact score for 'CRITICAL' vs. 'HIGH' CVEs?
Comparative and Ranking,Rank D3FEND techniques by how many MITRE techniques they are related to.,"MATCH (d:UcoexMITRED3FEND)-[:UCOEXHASMITREATTACK]->(t:UcoexMITREATTACK) RETURN d.ucoexMITRED3FEND_LABEL, count(t) AS relatedTechniques ORDER BY relatedTechniques DESC",Rank D3FEND defenses by how many attack techniques they counter.
Comparative and Ranking,Which groups use more software tools than 'FIN7'?,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) WITH g, count(s) AS softwareCount MATCH (g_fin7:UcoexGROUPS {ucoexNAME: 'FIN7'})-[:UCOEXGROUPUSESSOFTWARE]->(s_fin7:UcoexSOFTWARE) WITH g, softwareCount, count(s_fin7) AS fin7SoftwareCount WHERE softwareCount > fin7SoftwareCount RETURN g.ucoexNAME, softwareCount",Which groups use more software tools than 'FIN7'?
Comparative and Ranking,"Rank CVEs by severity (CRITICAL, HIGH, MEDIUM, LOW).","MATCH (c:UcoCVE) RETURN c.label, c.ucobaseSeverity ORDER BY CASE c.ucobaseSeverity WHEN 'CRITICAL' THEN 1 WHEN 'HIGH' THEN 2 WHEN 'MEDIUM' THEN 3 WHEN 'LOW' THEN 4 ELSE 5 END LIMIT 50","Show me 50 CVEs, ranked by severity."
Existence and Set Operations Queries,Find software used by 'APT28' that was NOT used in the 'SolarWinds Orion' campaign.,MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) WHERE NOT EXISTS { (c:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion'})-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s) } RETURN s.ucoexNAME,Find software used by 'APT28' that was *not* used in the 'SolarWinds Orion' campaign.
Existence and Set Operations Queries,Find all groups that use at least one technique.,MATCH (g:UcoexGROUPS) WHERE EXISTS { (g)-[:UCOEXGROUPUSESTECHNIQUE]->(:UcoexMITREATTACK) } RETURN g.ucoexNAME,Find all groups that use at least one attack technique.
Existence and Set Operations Queries,(Union) List all techniques used by 'Lazarus Group' OR associated with 'Mimikatz' software.,MATCH (t:UcoexMITREATTACK) WHERE EXISTS { (:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[:UCOEXGROUPUSESTECHNIQUE]->(t) } OR EXISTS { (:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'})-[:UCOEXSOFTWAREUSESTECHNIQUE]->(t) } RETURN t.ucoexNAME,List all techniques used by 'Lazarus Group' OR 'Mimikatz'.
Existence and Set Operations Queries,List all exploit targets that have a vulnerability but NO associated weakness (CWE).,MATCH (et:UcoExploitTarget) WHERE EXISTS { (et)-[:UCOHASVULNERABILITY]->(:UcoVulnerability) } AND NOT EXISTS { (et)-[:UCOHASWEAKNESS]->(:UcoCWE) } RETURN et.uri,List exploit targets that have a vulnerability but NO associated weakness (CWE).
Existence and Set Operations Queries,(Union) List all groups OR software associated with the 'SolarWinds Orion' campaign.,MATCH (n) WHERE EXISTS { (:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion'})-[:UCOEXATTRIBUTEDTO]->(n) } OR EXISTS { (:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion'})-[:UCOEXCAMPAIGNUSESSOFTWARE]->(n) } RETURN n.ucoexNAME,List all groups and software associated with the 'SolarWinds Orion' campaign.
Existence and Set Operations Queries,(Intersection) Find CVEs that are 'CRITICAL' AND have an observed example.,MATCH (c:UcoCVE {ucobaseSeverity: 'CRITICAL'}) WHERE EXISTS { (c)<-[:UCOEXEXAMPLEOBSERVEDIN]-(:UcoexObservedExample) } RETURN c.label,Find 'CRITICAL' CVEs that *also* have a real-world observed example.
Existence and Set Operations Queries,List all mitigations that do NOT mitigate any known technique.,MATCH (m:UcoexMITIGATIONS) WHERE NOT EXISTS { (m)-[:UCOEXMITIGATES]->(:UcoexMITREATTACK) } RETURN m.ucoexNAME,List all mitigations that do *not* counter any known technique.
Existence and Set Operations Queries,(Union) List all CVEs from 2023 OR with 'HIGH' impact score.,MATCH (c:UcoCVE) MATCH (v:UcoVulnerability)-[:UCOHASCVE_ID]->(c) WHERE v.ucopublishedDateTime STARTS WITH '2023' OR c.ucoimpactScore = 'HIGH' RETURN DISTINCT c.label,List all CVEs from 2023 OR with a 'HIGH' impact score.
Existence and Set Operations Queries,(Intersection) Find software used by 'FIN7' AND 'Lazarus Group' AND 'APT28'.,MATCH (g1:UcoexGROUPS {ucoexNAME: 'FIN7'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXGROUPUSESSOFTWARE]-(g2:UcoexGROUPS {ucoexNAME: 'Lazarus Group'}) MATCH (g3:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESSOFTWARE]->(s) RETURN s.ucoexNAME,What software is used by 'FIN7' AND 'Lazarus Group' AND 'APT28'?
Existence and Set Operations Queries,(Difference) List all 'Enterprise' techniques NOT mitigated by any 'UcoexMITIGATIONS'.,MATCH (t:UcoexMITREATTACK {ucoexDOMAIN: 'Enterprise'}) WHERE NOT EXISTS { (t)<-[:UCOEXMITIGATES]-(:UcoexMITIGATIONS) } RETURN t.ucoexNAME,List 'Enterprise' techniques that are *not* mitigated by anything. 
Aggregation and Counting,"How many total CWE entries are in the database?","MATCH (c:UcoCWE) RETURN count(c) AS totalCWEs","What is the total count of nodes with the UcoCWE label?"
Aggregation and Counting,"What is the total count of CWEs grouped by their abstraction level (e.g., Variant, Class), sort from highest count to lowest count?","MATCH (c:UcoCWE) RETURN c.ucoabstraction AS abstractionLevel, count(c) AS count ORDER BY count DESC","Group UcoCWE nodes by their abstraction level, count each group, and return the abstraction level and count, sorted descending by count."
Aggregation and Counting,"What is the total count of CWEs grouped by their completion status (e.g., Incomplete), sort from highest count to lowest count?","MATCH (c:UcoCWE) RETURN c.ucostatus AS status, count(c) AS count ORDER BY count DESC","Group UcoCWE nodes by their ucostatus property, count each group, and return the status and count, sorted descending by count."
Aggregation and Counting,"How many CWEs were introduced each year?","MATCH (c:UcoCWE) WHERE c.ucotimeOfIntroduction IS NOT NULL RETURN datetime(c.ucotimeOfIntroduction).year AS introductionYear, count(c) AS count ORDER BY introductionYear DESC","Find UcoCWE nodes with an introduction time, group by introduction year, count each group, and return the year and count, sorted descending by year."
Aggregation and Counting,"What is the count of CWEs grouped by their structure type (e.g., Simple)?","MATCH (c:UcoCWE) RETURN c.ucostructure AS structure, count(c) AS count ORDER BY count DESC","Group UcoCWE nodes by their ucostructure property, count each group, and return the structure and count, sorted descending by count."
